index,true_label,matched_score,resume_snippet,classify_zeroshot,classify_fewshot,entity_zeroshot,entity_cot,summary_zeroshot,summary_role,true_domain,pred_domain_zs,pred_domain_fs,correct_zs,correct_fs
10,Civil Engineer,0.35,Looking for roles related to application development in Machine Learning.,Data & AI,Data & AI,"{""skills"": [""Machine Learning""], ""years_experience"": ""Unknown"", ""education_level"": ""Degree""}","{
  ""skills"": [
    ""application development"",
    ""Machine Learning""
  ],
  ""years_experience"": ""Unknown (looking for entry-level or junior positions)"",
  ""education_level"": ""Bachelor's degree or higher""
}","This candidate's background in civil engineering does not align with the requirements of an ML-focused application development position, suggesting they may need additional training or experience in software development and data science to be a strong fit for this role.","This candidate's relevant technical skills and experience as a civil engineer may translate well to the field of machine learning, but their complete lack of direct experience or qualifications in this area raises significant concerns about their potential fit for the role.",Civil & Mechanical Engineering,Data & AI,Data & AI,0,0
11,Civil Engineer,0.3,My full name is Kailie Marie Mahea'lani Graciidis. I am an ambitious 20 year old and also a part-time student at Bellevu,Business & Marketing,Other,"{""skills"": [], ""years_experience"": """", ""education_level"": """"}","{""skills"": [""unknown""], ""years_experience"": ""0 years or unknown"", ""education_level"": ""unknown""}","While Kailie has a strong passion for the ocean and entrepreneurial spirit, her current academic background and limited relevant experience make it challenging to determine how well she fits the role of a Civil Engineer at this stage in her career.","I would not consider Kailie Marie for the Civil Engineer role due to her lack of relevant education or experience, despite her enthusiasm and entrepreneurial spirit.",Civil & Mechanical Engineering,Business & Marketing,Other,0,0
12,Data Engineer,0.75,Graduate database management engineer looking to join a role in data analytics or cloud-based machine learning solutions,Data & AI,Data & AI,"{""skills"": [""data analytics"", ""cloud-based machine learning""], ""years_experience"": ""unknown"", ""education_level"": ""graduate""}","{""skills"": [""database management"", ""data analytics"", ""cloud-based machine learning""], ""years_experience"": ""unknown or 0 years"", ""education_level"": ""graduate degree""}","The candidate's background in database management engineering equips them with a strong foundation in data engineering principles, making them a promising fit for a role that leverages their technical expertise in data analytics and cloud-based machine learning solutions.","This candidate appears suitable for the Data Engineer role, bringing strong technical skills as a graduate with a solid understanding of database management and potential adaptability to cloud-based machine learning solutions, but lags behind due to lack of direct experience in industry-specific data analytics or cloud technologies.",Data & AI,Data & AI,Data & AI,1,1
13,Data Engineer,0.34,To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gain,Civil & Mechanical Engineering,Civil & Mechanical Engineering,"{""skills"": [""civil engineering""], ""years_experience"": ""unknown"", ""education_level"": ""degree""}","{""skills"": [""civil engineering"", ""knowledge sharing""], ""years_experience"": ""unknown or various"", ""education_level"": ""college""}","This candidate does not appear to fit the role of a Data Engineer, as their resume highlights experience and interest in civil engineering, rather than data engineering or a related technical field.","I would not consider this candidate for the role of Data Engineer, as their resume does not align with the job description, lacking relevant technical skills and experience in data engineering or a related field.",Data & AI,Civil & Mechanical Engineering,Civil & Mechanical Engineering,0,0
14,Data Engineer,0.55,"Proficient Entry Level Electrical Engineer with excellent technical, analytical and communication skills. Willing to rel",Software Engineering,Civil & Mechanical Engineering,"{""skills"": [""technical skills"", ""analytical skills"", ""communication skills""], ""years_experience"": ""entry level or unknown"", ""education_level"": ""degree or unknown""}","{""skills"": [""electrical engineering"", ""communication skills""], ""years_experience"": ""Entry level experience"", ""education_level"": ""Bachelor's degree""}","This entry-level electrical engineer demonstrates surprising technical aptitude for a data engineering role, suggesting potential adaptability despite lacking traditional data engineering experience or direct background.","This candidate's strong technical background as an electrical engineer could serve them well in a data engineering role, but their lack of direct experience with big data platforms and programming languages may hinder their ability to hit the ground running immediately.",Data & AI,Software Engineering,Civil & Mechanical Engineering,0,0
15,Data Science Engineer,0.65,I am a fresher who is looking to work as a software developer in Machine Learning Application building and deployment. I,Data & AI,Data & AI,"{""skills"": [""machine learning"", ""deep learning""], ""years_experience"": ""X years or unknown"", ""education_level"": ""unknown""}","{""skills"": [""machine learning"", ""deep learning""], ""years_experience"": ""0 years or unknown"", ""education_level"": ""unknown""}","While this candidate has a strong foundation in machine learning and deep learning, their self-described experience as ""a fresher"" suggests that they may not possess the depth of skills or industry experience typically expected for a Data Science Engineer role.","This candidate appears suitable for the role, but their lack of direct experience in data science engineering and deployment of ML models raises concerns about their readiness to hit the ground running as a senior member of the team.",Data & AI,Data & AI,Data & AI,1,1
16,Data Science Engineer,0.716666667,Graduate Looking for roles related to BU analyst and machine learning.,Data & AI,Business & Marketing,"{""skills"": [""machine learning"", ""BU analyst""], ""years_experience"": ""Unknown"", ""education_level"": ""N/A""}","{""skills"": [""Machine Learning"", ""BU Analyst""], ""years_experience"": ""Graduate or unknown"", ""education_level"": ""Bachelor""}","The candidate's background in machine learning and interest in data analysis positions them as a strong contender for a Data Science Engineer role, where they can apply their skills to drive business insights through modeling and algorithmic solutions.","I would evaluate this candidate as moderately suitable, with a strong analytical mind being a notable asset, but lacking direct experience in data science engineering and potential gaps in their understanding of industry-specific technologies.",Data & AI,Data & AI,Business & Marketing,1,0
17,Data Science Engineer,0.296666667,Hard working recent graduate intending a part time or full time job to build experience in a Civil Engineering working e,Civil & Mechanical Engineering,Civil & Mechanical Engineering,"{""skills"": [""Civil Engineering"", ""roadway design"", ""traffic engineering""], ""years_experience"": ""unknown"", ""education_level"": ""degree""}","{""skills"": [""Civil Engineering"", ""roadway design"", ""traffic engineering""], ""years_experience"": ""unknown or recent graduate"", ""education_level"": ""bachelor's degree""}","This candidate brings a unique blend of technical skills, industry knowledge, and practical experience in civil engineering, making them an attractive fit for a Data Science Engineer role, despite being a non-traditional candidate, due to their strong foundation in analytical and problem-solving skills developed through coursework and professional experiences.","Although the candidate's strong technical foundation in Civil Engineering could be valuable, their lack of explicit data science skills and experience in a non-engineering field may create a significant gap in meeting the demands of the Data Science Engineer role.",Data & AI,Civil & Mechanical Engineering,Civil & Mechanical Engineering,0,0
18,Database Administrator (DBA),0.85,"strong willingness to exhibit my proficiency in Analytical tools, Statistics and Computing Methodologies in the professi",Data & AI,Data & AI,"{""skills"": [""Analytical tools"", ""Statistics"", ""Computing Methodologies""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""Analytical tools"", ""Statistics"", ""Computing Methodologies""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","This candidate's strong enthusiasm for showcasing their analytical skills, statistics expertise, and computing methodologies suggests a high potential fit for a role as a Database Administrator (DBA) where these technical competencies are likely to be highly valued.","This candidate appears to be a strong technical fit for the DBA role due to their demonstrated analytical skills, but may require additional training or experience to fully address the more strategic and leadership aspects of the position.",IT Infrastructure,Data & AI,Data & AI,0,0
19,Database Administrator (DBA),0.85,Passionate Data Engineer with a zeal to excel forward and produce promising outcomes. Hands-on knowledge in various Mach,Data & AI,Data & AI,"{""skills"": [""Machine Learning Algorithms"", ""data mining"", ""warehouse maintenance"", ""visualization""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""Machine Learning Algorithms"", ""data mining"", ""warehouse managing"", ""data visualization""], ""years_experience"": ""1-2 years or unknown"", ""education_level"": ""unknown""}","While the candidate's experience in data engineering and machine learning algorithms may not directly align with traditional DBA duties, their enthusiasm for growth and developing new skills suggests they could be a strong fit for a role that leverages their technical expertise and adaptability to learn new responsibilities.","Although this candidate's diverse technical background may be an asset, their lack of explicit DBA experience and direct relevance to database administration could pose a significant gap in meeting the requirements for this specific role.",IT Infrastructure,Data & AI,Data & AI,0,0
20,Database Administrator (DBA),0.85,"I am a software engineer, and I want to work on full time roles associated with Machine Learning. I have previously work",Data & AI,Data & AI,"{""skills"": [""Machine Learning""], ""years_experience"": ""Unknown"", ""education_level"": ""Unknown""}","{""skills"": [""software engineer"", ""Machine Learning""], ""years_experience"": ""1 year or unknown"", ""education_level"": ""unknown""}","While lacking direct experience as a Database Administrator (DBA), this candidate's background in software engineering and interest in exploring database management through machine learning applications suggests potential growth into the DBA role, particularly with corporate models.","The candidate is suitable for the Database Administrator role as they possess relevant technical expertise in software engineering, but their shift from a traditional full-time role to a part-time or full-time opportunity may pose an uncertainty gap regarding their commitment and dedication to the position.",IT Infrastructure,Data & AI,Data & AI,0,0
21,DevOps Engineer,0.65,"Long term goals , become an intuitive I/E Technician in the pulp and paper industry, teach others with the potential to ",Other,Business & Marketing,"{""skills"": [""I/E Technician""], ""years_experience"": ""unknown"", ""education_level"": ""degree""}","{""skills"": [""I/E Technician""], ""years_experience"": ""unknown or less than 1 year"", ""education_level"": ""unknown""}","This DevOps Engineer candidate's long-term career aspirations, although focused on the pulp and paper industry, suggest a strong desire for continuous learning and growth that could translate well to a dynamic tech environment like DevOps, making them a potentially strong fit for this role.","I would evaluate this candidate as partially suitable for the DevOps Engineer role due to their strong passion for teaching and leadership skills, but they lack direct experience or relevant certifications in software development, IT operations, or DevOps specifically.",IT Infrastructure,Other,Business & Marketing,0,0
22,DevOps Engineer,0.633333333,To obtain a position in the field of civil engineering technician where I can apply and impart the knowledge I have gain,Civil & Mechanical Engineering,Civil & Mechanical Engineering,"{""skills"": [""unknown""], ""years_experience"": ""X years or unknown"", ""education_level"": ""degree or unknown""}","{""skills"": [""civil engineering"", ""experience"", ""college""], ""years_experience"": ""unknown"", ""education_level"": ""college""}","Unfortunately, this candidate is not a good fit for the DevOps Engineer role, as their expressed interest in civil engineering technicians and desire to gain experience in that field indicates little relevance or aptitude for software development and operations expertise typically required in a DevOps engineer position.","I would not recommend this candidate for the DevOps Engineer role due to their lack of relevant experience and unalignment with the job requirements, despite some potential for transferable skills from their civil engineering background.",IT Infrastructure,Civil & Mechanical Engineering,Civil & Mechanical Engineering,0,0
23,DevOps Engineer,0.5833333333333334,"Financial Accountant specializing in financial planning, reporting and analysis in both private and public sectors. Capa",Business & Marketing,Finance & Audit,"{""skills"": [""accounting software"", ""financial planning"", ""financial reporting"", ""analysis""], ""years_experience"": ""10+ years or unknown"", ""education_level"": ""Bachelor's degree or unknown""}","{""skills"": [""financial planning"", ""reporting"", ""analysis"", ""accounting software""], ""years_experience"": ""7-10 years or unknown"", ""education_level"": ""Bachelor's degree or unknown""}","While the candidate's background is in accounting, they do not possess the technical skills or experience necessary for a DevOps Engineer role, which would require significant education and training in computer science and software engineering to make this fit.","This candidate may not be a strong fit for the DevOps Engineer role due to their extensive background in financial accounting, lacking relevant technical experience and skills that would be required to succeed in this position.",IT Infrastructure,Business & Marketing,Finance & Audit,0,0
24,Executive - VAT,0.65,Hard working recent graduate intending a part time or full time job to build experience in a Civil Engineering working e,Civil & Mechanical Engineering,Civil & Mechanical Engineering,"{""skills"": [""Civil Engineering"", ""Roadway Design"", ""Traffic Engineering""], ""years_experience"": ""Recent Graduate or 0 years"", ""education_level"": ""Bachelor's degree""}","{""skills"": [""civil engineering"", ""roadway design"", ""traffic engineering""], ""years_experience"": ""0 years or unknown"", ""education_level"": ""Bachelor""}}","This recent graduate's strong background in civil engineering, particularly in roadway design and traffic engineering, makes them an ideal fit for the Executive - VAT role, as they can leverage their existing skills to support VAT-related tasks and contribute to the company's success.","The candidate appears suitable for the role of Executive - VAT, with their civil engineering background and office/family experience being a significant strength, but also highlights a notable gap in lack of direct VAT expertise and industry-specific experience, which would require additional training or support to overcome.",Finance & Audit,Civil & Mechanical Engineering,Civil & Mechanical Engineering,0,0
25,Executive - VAT,0.466666667,A highly disciplined and hard-working individual seeking challenging opportunity in the field of data science and data a,Data & AI,Data & AI,"{""skills"": [""data science"", ""data analytics""], ""years_experience"": ""X years or unknown"", ""education_level"": ""unknown""}","{""skills"": [""data science"", ""data analytics""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","This candidate's background and skills, although focused on data science and analytics, may not be directly relevant to an Executive - VAT role, suggesting a mismatch in job title and resume objective.","Although the candidate's profile doesn't directly align with the Executive - VAT role, their exceptional analytical skills suggest they may be a strong fit for a data-driven industry, but a significant gap in relevant experience in VAT regulations raises concerns about their ability to hit the ground running in this specific position.",Finance & Audit,Data & AI,Data & AI,0,0
26,Executive - VAT,0.716666667,"strong willingness to exhibit my proficiency in Analytical tools, Statistics and Computing Methodologies in the professi",Data & AI,Data & AI,"{""skills"": [""Analytical tools"", ""Statistics"", ""Computing Methodologies""], ""years_experience"": ""Unknown"", ""education_level"": ""Unknown""}","{""skills"": [""Analytical tools"", ""Statistics"", ""Computing Methodologies""], ""years_experience"": ""unknown or unknown"", ""education_level"": ""unknown""}","This candidate's strong background in analytical tools, statistics, and computing methodologies aligns well with the requirements of an Executive - VAT role, suggesting they have a solid foundation to excel in this position.","The candidate's strong willingness to leverage analytical skills may make them a suitable fit for the role of Executive - VAT, but their lack of specific experience or achievements in tax-related areas is a notable gap that requires further clarification.",Finance & Audit,Data & AI,Data & AI,0,0
27,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.85,"To secure an IT specialist, desktop support, network administration, database administrator, technical support specialis",Data & AI,IT Infrastructure,"{""skills"": [""networking"", ""web development"", ""application development"", ""Linux"", ""Microsoft applications"", ""testing"", ""client support"", ""help desk"", ""technical support"", ""troubleshooting""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""Microsoft certification"", ""networking"", ""Windows"", ""Mac OS"", ""Apple"", ""Android IOS"", ""web development"", ""application development"", ""Linux"", ""Microsoft applications"", ""managing"", ""testing"", ""client support"", ""help desk"", ""technical support"", ""troubleshooting""], ""years_experience"": ""unknown or unknown (implied by job titles)"", ""education_level"": ""unknown""}","Although the candidate's background in IT is a good fit for many technology roles, they lack direct experience in trade marketing or hygiene products industry, making them less competitive for an Executive/Senior Executive- Trade Marketing position.","I would not recommend this candidate for the role of Executive/ Senior Executive- Trade Marketing, Hygiene Products, as their resume highlights a strong technical background that is not relevant to a trade marketing position in hygiene products, despite possessing leadership and communication skills that could be valuable in other areas.",Business & Marketing,Data & AI,IT Infrastructure,0,0
28,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.783333333,I am actively seeking opportunity as Data Analyst or Machine Learning Engineer. My goal is to discover new business stra,Data & AI,Data & AI,"{""skills"": [""Data Analysis"", ""Machine Learning""], ""years_experience"": ""X years"", ""education_level"": ""degree""}","{""skills"": [""Data Analysis"", ""Machine Learning"", ""Business Strategy""], ""years_experience"": ""unknown or varying experience in data analysis and machine learning roles"", ""education_level"": ""unknown""}","This candidate's background in seeking a role for analysis-driven skills and leadership positions, although not directly related to trade marketing, suggests they may possess transferable skills that could be valuable in an Executive/ Senior Executive Trade Marketing position, particularly in terms of strategic thinking and decision-making.","Although this candidate's strong technical background in data analysis and machine learning could potentially be leveraged for a career transition, their unconventional goal of transitioning into trade marketing and lack of relevant experience in the hygiene products industry make them an unlikely fit for the role.",Business & Marketing,Data & AI,Data & AI,0,0
29,"Executive/ Senior Executive- Trade Marketing, Hygiene Products",0.683333333,A Data Science enthusiast with a demonstrated history of working in Banking industry. Currently working on real life Dat,Data & AI,Data & AI,"{""skills"": [""Predictive Analytics"", ""Machine Learning"", ""Deep Learning""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","{""skills"": [""Predictive Analytics"", ""Machine Learning"", ""Deep Learning""], ""years_experience"": ""Several years of experience"", ""education_level"": ""Unknown""}","Unfortunately, this candidate does not appear to be a strong fit for the role, as their background and skills in data science and banking do not align with the expertise typically required for an Executive/ Senior Executive- Trade Marketing, Hygiene Products position.","This candidate is not well-suited for the Trade Marketing role, as their extensive background in Banking industry and data science expertise may not directly translate to understanding consumer behavior and product lifecycle management required for Hygiene Products trade marketing.",Business & Marketing,Data & AI,Data & AI,0,0
30,Executive/ Sr. Executive -IT,0.76,I am an experienced analytics specialist seeking a full-time position in the field of data science and application in bu,Data & AI,Data & AI,"{""skills"": [""data analysis"", ""business problem-solving""], ""years_experience"": ""10 years or unknown"", ""education_level"": ""Bachelor's degree or unknown""}","{""skills"": [""analytics"", ""data science"", ""problem solving""], ""years_experience"": ""10 years or unknown"", ""education_level"": ""Masters""}","While this candidate's background is in analytics, their strong foundation in business problem-solving suggests that they may be a good fit for an IT role with an emphasis on analytical thinking, but may require additional experience or training to excel as an Executive/Sr. Executive in the field.","While the candidate's experience as an analytics specialist is impressive, their lack of direct experience with IT systems and applications may create a significant gap in their suitability for this executive role.",IT Infrastructure,Data & AI,Data & AI,0,0
31,Executive/ Sr. Executive -IT,0.816666667,Seeking for full time position where I can apply my technical knowledge & skills for continuous improvement.,Business & Marketing,Data & AI,"{""skills"": [], ""years_experience"": """", ""education_level"": """"}","{""skills"": [""technical knowledge""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","The candidate has strong technical skills and a passion for application, but may require additional experience and leadership expertise to excel in an executive role, making them a promising yet developmentally challenged fit for the Executive/Sr. Executive - IT position.","Based on the provided resume, this candidate appears to be a strong fit for the role, with exceptional technical expertise and a passion for continuous improvement, but may require additional experience in leadership or management to fill the executive/senior executive gap.",IT Infrastructure,Business & Marketing,Data & AI,0,0
32,Executive/ Sr. Executive -IT,0.85,My main objective in seeking employment with Triumph Actuation Systems Inc. is to work in a professional atmosphere wher,Business & Marketing,Business & Marketing,"{""skills"": [], ""years_experience"": """", ""education_level"": """"}","{""skills"": [""aerospace""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","This candidate has a strong background and expressed desire to advance their career in the aerospace industry, indicating a good fit for an Executive/ Sr. Executive - IT role at Triumph Actuation Systems Inc.","This candidate's strong technical background, evident from their 15+ years of experience in IT leadership positions, suggests they may be well-suited for the Executive/Sr. Executive -IT role at Triumph Actuation Systems Inc., but further assessment is needed to determine if their extensive industry knowledge will offset a noticeable gap in showcasing specific accomplishments or achievements in their resume.",IT Infrastructure,Business & Marketing,Business & Marketing,0,0
33,"Full Stack Developer (Python,React js)",0.85,"Industrious recent computer science graduate with a zeal for innovation. Seeking a position at Sikka Software, where the",Data & AI,Business & Marketing,"{""skills"": [], ""years_experience"": ""Recent"", ""education_level"": ""Unknown""}","{""skills"": [""computer science""], ""years_experience"": ""recent graduate"", ""education_level"": ""bachelor's degree""}","This candidate's passion for innovation, strong background in computer science, and interest in enhancing user experiences through technology make them a highly suitable fit for a Full Stack Developer role at Sikka Software.","The candidate appears to be an enthusiastic and technically skilled recent graduate, but their resume lacks specific technical achievements or industry experience, making them a borderline suitable candidate for the role.",Software Engineering,Data & AI,Business & Marketing,0,0
34,"Full Stack Developer (Python,React js)",0.85,I am a software engineer who has worked on several computer vision projects and their end to end deployment. I am lookin,Data & AI,Data & AI,"{""skills"": [""computer vision"", ""end-to-end deployment""], ""years_experience"": ""unknown"", ""education_level"": ""degree""}","{""skills"": [""software engineer"", ""computer vision"", ""machine learning""], ""years_experience"": ""5-10 years or unknown"", ""education_level"": ""unknown""}","This candidate's experience with full-stack development, particularly in Python and React js, suggests that they possess a strong foundation in software engineering, which can be leveraged to transition into a machine learning role as a Full Stack Developer (Python,React js).","This candidate's strong experience in deploying computer vision projects suggests they possess hands-on technical expertise, but their career aspirations to transition into machine learning development raise concerns about their potential readiness for this significant shift.",Software Engineering,Data & AI,Data & AI,0,0
35,"Full Stack Developer (Python,React js)",0.85,To obtain a position in my field of Electronics with a company that offers opportunities for advancement based on strong,Other,Software Engineering,"{""skills"": [], ""years_experience"": """", ""education_level"": """"}","{""skills"": [""strong technical skills""], ""years_experience"": ""unknown"", ""education_level"": ""unknown""}","Although the candidate's background and interests are in electronics rather than web development, their resume doesn't provide any direct experience or relevant technical skills for a Full Stack Developer role with Python and React js expertise.","I would summarize the candidate's suitability as follows:

The candidate has a solid foundation in programming languages and demonstrated enthusiasm for growth, but lacks specific industry experience and relevant project portfolio to be highly competitive for a Full Stack Developer role.",Software Engineering,Other,Software Engineering,0,1
36,HR Officer,0.65,Adept at extracting and combining data from multiple sources to come up with KPIs which have a direct impact on the bott,Business & Marketing,Data & AI,"{""skills"": [""data extraction"", ""data combination""], ""years_experience"": ""X years or unknown"", ""education_level"": ""unknown""}","{""skills"": [""data analysis"", ""data extraction""], ""years_experience"": ""unknown or not specified"", ""education_level"": ""unknown""}","The candidate's analytical skills in extracting and analyzing data, as evident from their experience creating KPIs that drive business results, make them an excellent fit for the HR Officer role.","This candidate appears to be well-suited for the role, particularly in terms of their analytical skills, but has limited experience working directly with employees or managing HR processes, indicating potential gaps in understanding the operational side of an HR role.",HR & Administration,Business & Marketing,Data & AI,0,0
